05/12/2026	Secretly Distribution	1	Daniel Pemberton, Baby Rose & Japanese Breakfast	Materialists (Original Soundtrack)	LP	Iridescent White Vinyl w/ Blue	1	810180991131		147	0.50	0.2268	0.2268	$146.31			$15.00
05/12/2026	Secretly Distribution	2	Daniel Lopatin	Marty Supreme (Original Soundtrack)	2xLP	Clear Vinyl	1	617308017083			1.00	0.4536	0.4536				$21.25
05/12/2026	Secretly Distribution	3	Sufjan Stevens	Illinois	CD		2	656605892627			0.25	0.1134	0.2268				$6.00
05/12/2026	Secretly Distribution	4	Sufjan Stevens	Illinois	2xLP		1	656605892610			1.00	0.4536	0.4536				$17.25
05/12/2026	Secretly Distribution	5	Thee Marloes	Di Hotel Malibu	CD		4	349223020229			0.25	0.1134	0.4536				$6.00
05/12/2026	Secretly Distribution	6	Thee Marloes	Di Hotel Malibu	LP		1	349223020212			0.50	0.2268	0.2268				$11.50
05/12/2026	Secretly Distribution	7	Thee Marloes	Di Hotel Malibu	LP	Indie Exclusive Clear Emerald Vinyl	1	349223020267			0.50	0.2268	0.2268				$12.50
05/12/2026	Secretly Distribution	8	Powder	Powder In Space	CD		2	700064953129			0.25	0.1134	0.2268				$6.00
05/12/2026	Secretly Distribution	9	Powder	Powder In Space	12"		2	747742391088			0.45	0.2041	0.4082				$9.00
05/12/2026	Secretly Distribution	10	Wild Nothing	Gemini	CD		1	817949016821			0.25	0.1134	0.1134				$6.00
05/12/2026	Secretly Distribution	11	Wild Nothing	Nocturne	Cassette		3	817949015237			0.15	0.0680	0.2041				$6.00
05/12/2026	Secretly Distribution	12	Mac DeMarco	Salad Days	CD		2	817949019488			0.25	0.1134	0.2268				$6.00
05/12/2026	Secretly Distribution	13	Mac DeMarco	This Old Dog	CD		2	817949013165			0.25	0.1134	0.2268				$6.00
05/12/2026	Secretly Distribution	14	Wild Nothing	Indigo	CD		1	817949014971			0.25	0.1134	0.1134				$6.00
05/12/2026	Secretly Distribution	15	LCD Soundsystem	American Dream	Cassette		5	829732256642			0.15	0.0680	0.3402				$7.50
05/12/2026	Secretly Distribution	16	RIP Magic	5words	12"	12" Single	2	829732000894			0.45	0.2041	0.4082				$9.00
05/12/2026	Secretly Distribution	17	MJ Lenderman	Manning Fireworks	Cassette		2	617308081022			0.15	0.0680	0.1361				$6.00
